id,performed_on,activity,duration_minutes,duration_seconds,distance_km,average_heart_rate,effort,notes,created_at
20,2026-08-02,Walking,57.5615,3453.69,2.23,126,6,,2026-08-02T21:41:45.695556-03:00
19,2026-07-31,Walking,61.16783333333333,3670.07,7.16,139,8,,2026-07-31T12:16:18.932987-03:00
18,2026-07-30,Walking,64.701,3882.06,6.74,141,7,,2026-07-31T09:47:53.723842-03:00
17,2026-07-29,Walking,51.84183333333333,3110.51,5.65,126,4,,2026-07-31T09:47:08.090915-03:00
16,2026-07-27,Walking,57.0215,3421.29,6.53,137,6,,2026-07-31T09:45:56.935296-03:00
15,2026-07-26,Walking,80.16166666666666,4809.7,8.89,142,8,,2026-07-31T09:44:48.128069-03:00
14,2026-07-25,Walking,22.941333333333333,1376.48,2.4,120,3,,2026-07-31T09:43:54.606646-03:00
13,2026-07-25,Walking,28.109666666666666,1686.58,2.84,128,3,,2026-07-31T09:43:06.386664-03:00
9,2026-07-24,Walking,16.606333333333332,996.38,1.72,115,3,,2026-07-31T09:38:35.020509-03:00
7,2026-07-24,Walking,47.46566666666667,2847.94,5.03,116,3,,2026-07-31T09:37:05.771777-03:00
6,2026-07-23,Walking,56.49033333333333,3389.42,6.26,136,5,,2026-07-31T09:36:25.623976-03:00
12,2026-07-22,Walking,60.140166666666666,3608.41,6.31,121,3,,2026-07-31T09:42:01.866653-03:00
5,2026-07-22,Walking,30.23166666666667,1813.9,3.05,120,3,,2026-07-31T09:35:42.944255-03:00
3,2026-07-21,Walking,62.3735,3742.41,7.06,129,5,,2026-07-31T09:33:16.296970-03:00
2,2026-07-20,Walking,54.01116666666667,3240.67,6.03,134,5,,2026-07-31T09:32:43.283540-03:00
