id,performed_on,day_name,planned_exercise,performed_exercise,sets,reps,weight,rir,pain,notes,set_number,created_at
15754,2026-09-22,Tuesday,Chest-supported machine row,Chest-supported machine row,1,8,70.0,0,0,,4,2026-09-24T17:11:14.307423-03:00
15753,2026-09-22,Tuesday,Chest-supported machine row,Chest-supported machine row,1,8,70.0,0,0,,3,2026-09-24T17:11:14.307423-03:00
15752,2026-09-22,Tuesday,Chest-supported machine row,Chest-supported machine row,1,8,70.0,0,0,,2,2026-09-24T17:11:14.307423-03:00
15751,2026-09-22,Tuesday,Chest-supported machine row,Chest-supported machine row,1,8,70.0,0,0,,1,2026-09-24T17:11:14.307423-03:00
14988,2026-09-22,Tuesday,Neutral-grip lat pulldown,Neutral-grip lat pulldown,1,8,61.0,0,0,,1,2026-09-24T17:10:59.048110-03:00
14987,2026-09-22,Tuesday,Neutral-grip lat pulldown,Neutral-grip lat pulldown,1,8,68.0,0,0,,2,2026-09-24T17:10:59.048110-03:00
14986,2026-09-22,Tuesday,Neutral-grip lat pulldown,Neutral-grip lat pulldown,1,8,68.0,0,0,,3,2026-09-24T17:10:59.048110-03:00
14985,2026-09-22,Tuesday,Neutral-grip lat pulldown,Neutral-grip lat pulldown,1,8,68.0,0,0,,4,2026-09-24T17:10:59.048110-03:00
15011,2026-09-21,Monday,Overhead cable triceps extension,Overhead cable triceps extension,1,10,18.5,0,0,,3,2026-09-24T17:10:19.812890-03:00
15010,2026-09-21,Monday,Overhead cable triceps extension,Overhead cable triceps extension,1,10,18.5,0,0,,2,2026-09-24T17:10:19.812890-03:00
15009,2026-09-21,Monday,Overhead cable triceps extension,Overhead cable triceps extension,1,10,18.5,0,0,,1,2026-09-24T17:10:19.812890-03:00
15008,2026-09-21,Monday,Cable or machine lateral raise,Cable or machine lateral raise,1,12,6.5,0,0,,4,2026-09-24T17:09:06.590493-03:00
15007,2026-09-21,Monday,Cable or machine lateral raise,Cable or machine lateral raise,1,12,6.5,0,0,,3,2026-09-24T17:09:06.590493-03:00
15006,2026-09-21,Monday,Cable or machine lateral raise,Cable or machine lateral raise,1,12,6.5,0,0,,2,2026-09-24T17:09:06.590493-03:00
15005,2026-09-21,Monday,Cable or machine lateral raise,Cable or machine lateral raise,1,12,6.5,0,0,,1,2026-09-24T17:09:06.590493-03:00
15004,2026-09-21,Monday,Pec deck,Pec deck,1,10,70.0,0,0,,3,2026-09-24T17:07:26.007661-03:00
15003,2026-09-21,Monday,Pec deck,Pec deck,1,10,70.0,0,0,,2,2026-09-24T17:07:26.007661-03:00
